User ID,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
1,98,242,2361,8057,977
2,98,3668,977,909,990
3,98,5348,977,3749,985
4,7541,4738,4742,1085,990
5,8575,4858,990,473,3582
6,73,3002,3893,990,988
7,98,5219,7224,977,985
8,4290,169,5909,2498,1403
9,4296,59,4742,8532,7522
10,2455,98,977,985,990
11,7355,2420,3002,990,2795
12,5640,6599,990,5843,988
13,4672,5335,5599,3668,990
14,3850,990,3590,5685,8173
15,2314,1574,3048,2420,4367
16,4028,990,988,7799,2069
17,4738,4872,6844,990,988
18,8139,3371,4524,3418,5366
19,5985,6901,990,988,1479
20,2850,844,3893,990,8701
21,7522,990,2737,988,2123
22,6081,8175,73,370,990
23,7797,6293,8393,4798,7778
24,8060,6803,990,3011,3615
25,7613,3908,98,5942,977
26,3329,2519,5366,7055,990
27,98,977,5301,985,8135
28,5335,8204,2594,2487,990
29,990,6449,2358,4766,988
30,2792,5909,7548,1403,359
31,98,5256,3350,1187,542
32,3243,2569,7436,990,7493
33,2149,4771,1574,98,977
34,98,5777,977,985,973
35,4742,98,7531,977,6592
36,4738,487,98,7228,977
37,98,4550,5492,977,985
38,7623,98,1927,2432,977
39,6354,5821,582,98,8532
40,3243,2569,3613,7436,3054
41,98,977,6218,4858,973
42,4738,1690,990,988,7143
43,5440,6658,5604,990,988
44,98,7954,2145,301,5398
45,2363,98,5070,90,566
46,6933,2062,98,8534,2008
47,1128,990,988,8582,4141
48,2853,8105,990,988,5845
49,2850,4361,990,6425,988
50,8805,229,8624,7126,2575
51,5985,2841,4937,177,4266
52,5440,359,7040,990,6729
53,4384,98,977,985,4032
54,5263,4675,98,4868,3809
55,3371,4742,4361,4868,3613
56,7778,990,988,7871,1409
57,8204,2594,3424,3738,990
58,1085,8404,46,990,6607
59,7541,3243,2569,8031,5492
60,628,325,3738,990,988
61,98,3781,8492,2145,301
62,4028,187,7176,1717,990
63,98,2731,7733,977,6240
64,8381,3466,990,988,242
65,1085,1484,8404,779,1488
66,5256,98,3996,3350,333
67,5013,98,8399,3914,3995
68,2208,98,6181,2114,883
69,98,4141,5070,90,190
70,7690,990,937,988,4910
71,2469,4985,98,5489,5396
72,3936,98,532,2699,3418
73,4107,98,2886,977,180
74,990,2055,1157,988,669
75,7447,98,1940,2179,977
76,1574,4097,98,6105,977
77,98,977,7088,985,990
78,98,8437,6474,4030,977
79,4738,487,98,5678,977
80,8805,6557,8669,7355,8624
81,98,7511,977,985,990
82,1553,990,4636,5078,988
83,3904,98,3364,2853,8514
84,98,2275,322,977,985
85,3391,7355,990,244,492
86,880,990,2055,988,1221
87,1085,3613,322,779,3054
88,98,977,985,872,973
89,3999,98,7128,1553,3424
90,5829,2792,6281,990,988
91,910,359,990,988,1068
92,7350,5732,5170,6975,990
93,3768,3884,8238,3462,990
94,5732,5808,5170,990,1783
95,2383,98,7982,5402,1553
96,98,670,977,985,7090
97,3999,7624,98,2894,6964
98,98,977,8404,7575,214
99,4330,990,545,988,3841
100,5108,98,6092,2812,5341
101,8805,2114,8624,4315,6448
102,1085,3884,322,397,3462
103,6088,98,229,4204,1906
104,5808,542,8276,990,7469
105,6971,880,6942,5279,990
106,3852,98,2145,301,977
107,98,393,5355,7291,6405
108,6858,98,2259,3966,2273
109,2916,5985,3884,4266,990
110,2916,3329,2792,990,3149
111,4672,2383,3424,990,2998
112,3781,8492,6026,990,8173
113,3329,5440,5604,990,1702
114,8805,8624,46,990,6607
115,5691,1553,3424,178,7342
116,8805,2519,8624,542,990
117,2363,7531,3721,990,6881
118,460,591,5699,7126,2420
119,7355,46,990,244,1540
120,8805,4872,8624,6844,990
121,6942,5691,1979,8060,5279
122,3002,990,8412,3590,268
123,98,977,1696,985,990
124,4872,3768,8404,8238,6844
125,5691,5682,3892,8060,990
126,3041,2125,98,388,3527
127,1085,5909,1403,7040,990
128,2314,5691,8060,990,2246
129,2186,98,883,7390,977
130,98,8221,8310,4937,977
131,4771,1574,2850,7778,4367
132,98,4031,5410,977,985
133,1689,98,3162,8032,977
134,2688,6293,6118,98,7808
135,98,2731,977,6240,3139
136,4738,2363,3721,990,988
137,2792,5808,2932,7071,4490
138,98,977,985,973,990
139,2850,8175,4367,2855,990
140,4028,7522,2575,3850,990
141,3041,628,5335,5808,7985
142,8139,4028,3002,5383,990
